,REMOTE,START_DATE,TENURE_YEARS,SALARY,AGE,DISTANCE_FROM_HOME_TO_OFFICE_MILES_IF_NOT_REMOTE,AVERAGE_COMMUTE_MINUTES_IF_NOT_REMOTE,CHANGE_READINESS_1,CHANGE_READINESS_2,CHANGE_READINESS_3,CHANGE_READINESS_4,CHANGE_READINESS_5,CHANGE_COMMITMENT_1,CHANGE_COMMITMENT_2,CHANGE_COMMITMENT_3,CHANGE_COMMITMENT_4,CHANGE_COMMITMENT_5,SLEEP_INTERVENTION,EXERCISE_INTERVENTION,SMOKING_INTERVENTION,PRE_HOURS_OF_SLEEP,PRE_QUALITY_OF_SLEEP,PRE_DAILY_EXERCISE_MIN,PRE_BMI,PRE_SMOKING,POST_HOURS_OF_SLEEP,POST_QUALITY_OF_SLEEP,POST_DAILY_EXERCISE,POST_BMI,POST_SMOKING,PRE_ABSENTEEISM_DAYS_MONTH,PRE_PERFORMANCE,PRE_INTENTION_TO_STAY,POST_INTENTION_TO_STAY,POST_ABSENTEEISM,POST_PERFORMANCE,PRE_ENGAGEMENT_QUESTION_1,PRE_ENGAGEMENT_QUESTION_2,PRE_ENGAGEMENT_QUESTION_3,PRE_SATISFACTION_QUESTION_1,PRE_SATISFACTION_QUESTION_2,PRE_SATISFACTION_QUESTION_3,POST_ENGAGEMENT_QUESTION_1,POST_ENGAGEMENT_QUESTION_2,POST_ENGAGEMENT_QUESTION_3,POST_SATISFACTION_QUESTION_1,POST_SATISFACTION_QUESTION_2,POST_SATISFACTION_QUESTION_3,GENDER_FEMALE,GENDER_MALE,CHILDREN__N,CHILDREN__Y,RACE_ASIAN,RACE_BLACK,RACE_HISPANIC,RACE_NATIVE_AMERICAN,RACE_TWO_OR_MORE_RACES,RACE_WHITE,OFFICE_LOCATION_CO,OFFICE_LOCATION_IL,OFFICE_LOCATION_MN,OFFICE_LOCATION_UT,EMPLOYEE_LEVEL_DIRECTOR,EMPLOYEE_LEVEL_JUNIOR,EMPLOYEE_LEVEL_MANAGER,EMPLOYEE_JOB_FAMILY_ACCOUNTING_AND_FINANCE,EMPLOYEE_JOB_FAMILY_ADMINISTRATIVE,EMPLOYEE_JOB_FAMILY_CUSTOMER_SERVICE,EMPLOYEE_JOB_FAMILY_LEGAL,EMPLOYEE_JOB_FAMILY_MARKETING_AND_SALES
10,0,1139097600,18.503758450262378,121765.68000000001,46.0,16.136614088003917,22,1,4,4,5,4,3,1,3,1,1,1,0,0,6,2,12,23,0,6,3,12,21,0,2,4,4,4,0,4,2,1,1,3,3,5,4,1,2,4,4,5,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
11,0,1406160000,10.041061667237054,109481.76000000001,32.0,9.173654110666167,16,1,3,4,4,3,1,5,2,5,5,1,0,0,6,3,26,29,0,7,3,35,27,0,1,4,4,4,0,4,4,2,4,3,4,3,5,3,4,4,5,4,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
12,0,1645315200,2.462690688455397,27002.842891849406,22.0,19.071926040988934,23,4,2,1,2,1,2,1,2,1,3,1,1,0,6,3,2,24,0,6,3,18,22,0,1,3,3,3,0,3,1,1,1,3,5,4,1,1,1,4,5,5,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
13,0,1581897600,4.47227316621036,30767.100000000002,28.0,10.429943036964914,15,3,1,1,2,1,1,4,1,4,1,1,1,0,8,4,31,22,0,8,4,31,25,0,1,3,3,3,1,3,4,4,3,3,3,3,4,3,2,4,5,5,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
14,1,1548115200,5.542772823979011,30925.65,29.0,25.259403020456677,29,2,5,2,3,1,5,1,2,3,1,1,1,0,6,5,22,25,0,6,5,22,29,0,0,2,1,2,0,2,3,2,1,4,4,4,1,1,1,5,5,5,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
15,0,1015977600,22.405195821925624,311871.56000000006,56.0,22.861406042953078,29,2,5,2,1,5,4,2,2,1,2,1,0,1,7,4,6,23,18,7,4,9,23,10,2,4,5,5,0,4,1,1,1,5,3,3,1,1,1,5,4,4,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
16,0,1517875200,6.501020599475246,98903.16,49.0,28.375511253878535,36,1,4,1,2,2,3,1,2,4,2,1,0,0,6,2,2,28,0,6,2,12,26,0,1,5,3,4,1,5,2,2,1,4,3,4,3,4,1,5,4,5,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
17,0,1216684800,16.04516844341775,278578.87200000003,38.0,18.014503301679763,23,2,5,1,5,5,4,3,2,4,1,1,0,0,7,1,38,18,0,7,1,38,18,0,1,4,4,4,0,4,2,2,1,3,3,4,2,2,1,4,4,5,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
18,0,1637020800,2.7255243640200786,53844.0,33.0,25.78759861012666,27,2,3,3,1,4,3,1,4,3,4,1,0,0,6,4,5,22,0,7,4,5,33,0,0,5,1,1,0,5,1,1,1,5,4,5,1,1,1,5,5,5,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
19,0,1515456000,6.577680421514945,49680.75,32.0,12.517085516274388,19,3,1,4,4,1,3,4,3,4,4,1,0,0,7,5,46,29,0,7,5,46,29,0,0,2,2,2,0,3,3,1,5,3,3,3,4,2,5,4,4,4,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
20,0,1595548800,4.039692741843488,29070.300000000003,28.0,20.74830020613937,24,1,2,2,5,2,3,1,4,4,1,1,1,0,5,3,2,22,0,5,3,20,20,0,1,4,3,3,1,4,2,1,1,3,3,3,1,1,1,4,4,4,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
21,1,1160438400,17.82750930584075,236627.04,40.0,23.326058403043092,31,3,1,4,3,1,3,3,2,1,2,1,0,1,7,4,27,24,17,8,5,27,27,9,1,4,4,5,0,4,1,1,2,4,5,4,3,2,3,5,5,5,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
22,0,1550448000,5.468850852726444,97792.5,50.0,3.4843996732039377,8,4,3,5,4,4,4,3,1,3,1,1,0,1,10,3,41,23,17,10,3,41,17,7,1,3,3,3,1,3,4,4,4,5,3,5,5,5,5,5,4,5,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
23,1,1627257600,3.0349015029660062,31127.25,25.0,21.611270138166432,29,3,1,3,1,4,4,1,1,2,1,1,1,0,7,5,42,19,0,7,5,42,29,0,1,3,1,1,0,3,4,1,2,3,3,3,3,1,1,5,4,4,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
24,1,1158710400,17.88226632158339,122561.64000000001,42.0,6.264466296618679,9,2,1,3,4,4,5,3,3,4,1,1,0,1,6,4,3,27,17,6,5,15,22,13,3,4,5,5,0,4,2,4,4,4,3,3,3,5,4,5,4,4,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
25,1,1613433600,3.4729576289071424,29255.46711172016,24.0,18.001057099914718,26,2,5,1,1,3,4,3,4,4,5,1,1,0,7,4,29,35,0,7,4,38,30,0,1,3,1,2,1,3,1,2,1,5,5,4,1,2,1,5,5,5,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
26,0,1597017600,3.9931492784622415,25221.0,26.0,9.400126603632184,13,5,1,3,4,2,3,4,4,4,2,1,1,0,8,3,9,26,0,8,3,38,33,0,1,2,1,1,1,2,1,3,1,4,4,4,2,5,2,5,5,5,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
27,1,1266624000,14.462690688455396,108144.72,53.0,21.756537278220808,28,4,2,2,2,4,5,3,2,2,2,1,0,0,6,4,26,28,0,6,4,26,28,0,1,5,5,5,1,4,3,4,2,4,5,4,1,3,1,5,5,5,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
28,1,1587945600,4.280623611111112,28035.0,27.0,3.6011708346624687,11,5,2,1,4,3,3,3,4,5,1,1,1,0,6,5,14,27,0,10,5,14,27,0,1,2,1,2,1,2,5,1,2,4,4,4,5,1,1,5,5,5,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
29,0,1660953600,1.9671396959844865,33295.95844746883,22.0,12.515678256270707,14,2,1,4,2,2,4,1,3,1,2,1,1,0,6,5,49,17,0,6,5,49,17,0,0,4,1,2,0,4,4,5,2,4,3,3,3,5,2,5,4,4,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
30,1,1590624000,4.195750236710017,49729.05,25.0,24.637738657342865,31,2,4,2,4,1,4,4,2,1,4,1,1,0,5,4,23,25,0,6,4,23,22,0,2,3,1,1,1,3,3,2,2,4,5,4,3,2,3,5,5,5,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
31,1,1606608000,3.6892478410905785,53851.350000000006,27.0,14.823894186977935,22,2,2,5,1,2,4,1,5,2,1,1,1,0,6,4,13,29,0,6,4,15,28,0,0,5,1,1,0,4,2,3,2,3,5,5,1,1,2,5,5,5,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
32,1,1651190400,2.276516834930414,27620.849907374773,23.0,5.629087347212958,9,1,3,1,4,4,3,1,3,2,1,1,1,0,8,4,17,25,0,8,4,17,25,0,0,4,1,2,0,4,1,3,1,5,3,3,1,3,1,5,4,4,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
33,0,1607904000,3.6481800792835966,27979.350000000002,28.673001926539627,30.885895300113233,35,3,3,3,3,3,3,3,3,3,3,0,1,0,7,4,34,24,0,7,4,35,26,0,1,1,1,1,1,1,2,4,1,3,5,4,2,4,2,3,5,4,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
34,0,1630540800,2.9308631730549863,28045.5,26.0,14.392011456967595,16,1,4,1,3,2,1,3,1,5,4,1,1,0,7,4,8,24,0,7,4,8,28,0,1,3,3,4,0,3,1,4,1,3,3,3,1,4,1,4,4,4,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
35,1,1528243200,6.172478505019394,52853.850000000006,29.0,30.507713008507835,34,1,1,3,4,3,4,3,4,4,5,1,1,1,6,4,29,28,13,6,4,29,20,5,1,2,4,4,1,2,1,1,1,5,5,5,3,1,1,5,5,5,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
36,0,1583020800,4.436681105977642,48736.8,30.0,35.6334112972117,37,5,3,1,2,2,2,1,3,4,4,1,1,0,6,4,41,23,0,6,4,41,23,0,1,4,2,2,0,5,4,1,3,5,4,5,5,2,4,5,5,5,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
37,0,1602201600,3.8288782312343153,49968.450000000004,27.0,23.17410493699871,25,4,1,1,2,3,3,4,3,2,2,1,1,0,6,4,58,22,0,6,4,58,17,0,0,5,3,3,0,5,5,1,5,3,3,3,5,5,5,5,5,5,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
38,0,1591574400,4.165633878051564,49151.55,25.0,9.454502864604862,12,2,2,4,2,4,2,3,4,1,5,1,1,0,9,3,44,20,0,9,3,44,26,0,1,2,1,1,0,2,2,5,3,4,3,4,1,4,3,5,5,5,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
39,0,1511222400,6.711835110084418,35708.4,33.0,6.280483398470225,12,2,5,2,3,1,5,1,2,1,1,1,0,0,10,4,32,20,0,10,4,32,23,0,1,5,4,4,0,5,5,3,4,3,3,3,5,3,5,4,4,4,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
40,1,1644364800,2.49280704711385,26510.83218838171,21.0,26.44815998269329,28,2,3,4,1,4,2,4,2,5,3,1,1,0,5,4,37,33,0,6,4,37,28,0,1,2,1,1,0,2,4,3,1,4,4,3,3,2,1,5,5,4,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
41,0,1505606400,6.889795411248005,34609.05,30.0,18.83246542012708,20,3,1,2,3,1,1,2,4,4,3,1,1,0,6,4,12,22,0,6,4,12,18,0,1,1,2,2,1,1,1,4,2,4,3,3,2,4,3,5,4,4,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
42,0,1645056000,2.470904240816793,27495.356340580875,21.0,4.780718240076546,9,2,4,3,2,1,2,4,5,2,2,1,1,0,6,5,6,24,0,7,5,6,23,0,1,3,3,3,1,3,1,4,5,5,4,3,1,4,4,5,5,4,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
43,0,1489104000,7.412724911590236,203543.6,34.0,14.46372642554741,19,3,4,3,5,3,3,4,2,1,5,1,0,0,8,4,29,21,0,8,5,29,24,0,0,4,3,3,0,4,1,5,4,5,3,5,2,5,4,5,4,5,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
44,0,1642896000,2.5393505104950957,33031.24487566085,21.0,7.320270645145049,11,1,3,3,3,1,1,4,4,2,5,1,1,0,9,5,20,26,0,9,5,20,29,0,1,4,3,4,1,4,3,5,5,3,3,3,3,4,4,4,5,4,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
45,0,1511740800,6.695408005361625,50976.450000000004,29.0,18.736306872665452,22,2,3,1,3,3,5,1,4,1,3,1,1,1,7,4,11,29,11,7,4,11,25,11,3,5,1,1,1,5,1,1,2,5,3,5,4,1,3,5,4,5,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
46,0,1649721600,2.3230602983116597,34610.801733988534,21.0,7.658230816682995,9,2,3,3,1,5,3,4,5,1,4,1,1,0,8,4,38,27,0,8,4,38,22,0,0,3,3,3,0,3,2,3,2,3,3,3,2,4,3,4,4,4,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
47,0,1514764800,6.599583227812002,29567.0,30.0,30.2156519811354,33,4,2,4,1,3,3,3,3,3,1,1,1,0,6,5,25,25,0,6,5,44,22,0,0,4,4,4,0,4,4,2,5,4,3,4,4,3,5,5,4,5,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
48,1,1588464000,4.26419650638832,26087.25,26.0,33.270540984628056,36,1,2,1,2,4,2,3,1,3,3,1,1,1,5,4,33,32,18,5,4,33,32,13,3,4,1,1,3,4,1,2,1,4,4,3,1,2,1,5,5,4,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
49,0,1646956800,2.410671523499887,28016.219318422536,23.0,9.17802469816662,12,3,2,1,3,4,1,3,4,3,3,1,1,0,6,3,6,24,0,6,3,6,23,0,1,3,3,4,0,3,2,2,4,3,4,5,5,5,5,4,5,5,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
50,0,1492819200,7.294997327743555,36879.15,29.0,31.420361472883823,35,3,4,3,4,3,3,5,4,1,4,1,1,0,5,5,41,27,0,5,5,41,18,0,0,5,3,3,0,5,3,4,3,3,3,4,3,4,3,4,4,5,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
51,0,1219881600,15.943867964293863,109252.2,44.0,14.238827261315091,16,4,5,5,4,2,4,4,1,2,1,1,0,0,7,5,3,28,0,7,5,3,26,0,1,4,4,4,1,4,1,1,4,5,4,5,2,2,4,5,5,5,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
52,0,1614816000,3.4291520163130285,35050.05,25.736207049203205,31.653467080117373,36,3,3,3,3,3,3,3,3,3,3,0,1,0,6,4,14,33,0,6,3,13,33,0,1,4,1,1,1,4,2,1,3,3,3,3,1,1,3,3,2,3,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
53,1,1590969600,4.184798833561489,35163.450000000004,27.0,18.540719479957108,23,1,1,1,1,4,4,2,2,2,2,1,1,0,5,4,7,24,0,5,4,7,28,0,0,2,1,1,0,2,2,1,2,3,3,3,1,1,1,5,4,4,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
54,1,1521504000,6.386030866415698,53331.600000000006,28.0,30.675278117962208,32,4,1,4,2,2,4,3,5,2,4,1,1,0,6,4,9,31,0,7,4,19,24,0,0,3,1,1,0,3,1,1,2,5,5,5,1,1,1,5,5,5,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
55,0,1623196800,3.1635804899612148,32274.9,26.0,7.2088288716074995,10,1,4,1,4,3,3,5,5,1,3,1,1,1,9,5,39,21,12,9,5,74,21,10,1,3,3,4,0,3,4,5,3,3,3,3,5,5,4,4,4,4,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
56,0,1634169600,2.815873439995438,47136.6,26.0,26.74239676763947,33,3,2,1,1,5,3,5,2,1,1,1,1,0,6,5,58,27,0,6,5,75,17,0,0,3,3,4,0,3,5,3,5,3,3,3,5,3,4,5,5,5,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
57,0,1612656000,3.497598285991331,31997.728450006707,24.0,18.136321947175283,22,5,5,2,5,5,4,4,3,4,2,1,1,0,6,5,13,28,0,6,5,47,18,0,1,3,3,3,0,4,5,5,3,3,4,3,5,5,4,4,5,4,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
58,0,1652313600,2.240924774697697,28683.87488149515,23.0,28.59877957292892,36,3,3,4,3,3,2,5,1,3,4,1,1,0,6,3,7,26,0,7,4,7,27,0,2,1,1,1,1,1,2,1,1,5,3,5,4,2,4,5,4,5,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
59,1,1586217600,4.3353806268537545,37598.4,30.0,25.852368111517833,29,5,1,3,1,1,2,3,1,4,3,1,1,0,7,3,20,27,0,7,3,27,26,0,1,2,1,1,1,1,1,2,1,3,3,3,1,1,1,5,4,4,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
60,0,1573430400,4.740582543349305,49511.700000000004,31.0,20.864958723639063,28,3,2,3,4,5,3,4,3,1,2,1,0,0,7,4,22,24,0,8,4,22,20,0,1,5,3,4,1,5,1,2,4,5,5,3,2,3,5,5,5,4,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
61,0,1567728000,4.921280695300024,75017.94,28.0,11.319542923928124,15,2,4,1,4,2,1,1,3,1,1,1,1,1,7,5,22,23,19,9,5,22,24,18,2,5,1,1,0,5,1,1,1,3,5,4,1,1,1,4,5,5,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
62,0,1414281600,9.783703693246636,44398.200000000004,31.0,28.46729568464509,32,1,5,4,4,4,4,4,1,2,4,1,0,0,6,5,24,25,0,6,5,24,26,0,1,3,5,5,1,3,2,5,5,3,3,4,3,5,5,4,5,5,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
63,0,1369094400,11.215599654916725,114039.36,34.0,16.744947025657734,19,3,1,2,5,5,5,4,1,3,5,1,0,1,5,3,25,24,21,5,4,25,25,12,3,5,4,4,1,5,3,4,1,3,5,4,5,5,4,4,5,5,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
64,0,1595289600,4.047906294204884,48758.85,32.0,24.686724862513692,29,2,2,1,1,4,2,3,3,1,3,1,0,1,7,4,54,16,17,7,4,54,25,10,0,5,1,1,0,5,1,1,1,4,4,3,1,1,1,5,5,4,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
65,0,1339632000,12.149206773328771,91578.6,53.0,16.607513172971096,22,2,3,4,5,1,3,5,3,5,5,1,0,1,7,5,6,32,24,7,5,6,34,0,1,3,5,5,0,3,2,2,1,5,5,4,5,3,4,5,5,5,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
66,0,1640995200,2.599583227812002,28647.730438665007,23.0,26.61398456703846,33,1,2,2,4,1,4,3,1,1,2,1,1,0,6,5,10,22,0,6,5,10,25,0,1,1,1,1,1,1,3,3,3,3,3,3,2,2,3,4,4,4,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
67,0,1469145600,8.04516844341775,254460.80000000002,50.0,10.701769719283764,14,1,5,3,2,1,2,1,4,1,5,1,0,0,7,2,6,27,0,7,3,6,25,0,1,4,4,4,0,4,1,2,1,5,3,3,1,5,5,5,4,4,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
68,0,1513728000,6.632437437257587,44810.85,31.0,5.699900218309473,11,2,4,4,5,2,3,5,4,3,4,1,0,1,7,4,14,25,20,10,5,14,16,8,2,4,4,4,0,4,3,5,5,4,3,5,5,5,5,5,4,5,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
69,1,1523750400,6.3148467459502635,25429.95,28.0,9.488365395572718,16,1,2,4,3,2,3,1,5,1,1,1,1,0,6,3,19,34,0,6,3,22,32,0,1,3,4,4,0,3,2,1,1,3,3,3,1,1,1,5,4,4,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
70,0,1652486400,2.2354490731234327,34417.81427924894,21.0,31.725046591397444,35,5,2,1,1,3,4,1,5,1,3,1,1,0,6,4,43,26,0,6,4,43,20,0,1,5,3,3,0,5,3,5,4,4,4,3,2,5,3,5,5,5,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
